iter	Logloss
0	0.6124553758
1	0.5476543979
2	0.488092887
3	0.4369649095
4	0.3937197783
5	0.3594172031
6	0.3278767901
7	0.3021397147
8	0.2807414579
9	0.2614598983
10	0.2448447194
11	0.2303686782
12	0.2181280669
13	0.2078861361
14	0.1986909583
15	0.1910953747
16	0.184614658
17	0.1784791644
18	0.1730127274
19	0.1685349631
20	0.1646448525
21	0.1611860138
22	0.1582844484
23	0.1557316655
24	0.1534133911
25	0.1513333397
26	0.1495147921
27	0.1479774737
28	0.1465864826
29	0.1453427583
30	0.1442177217
31	0.1432155909
32	0.1423879764
33	0.1416669824
34	0.1409075966
35	0.1401939792
36	0.1396105609
37	0.139055986
38	0.1385427507
39	0.138100379
40	0.1376756641
41	0.1372941026
42	0.1369973236
43	0.1366438807
44	0.1363698037
45	0.1361063534
46	0.1358835157
47	0.1356626369
48	0.135493313
49	0.1353232766
50	0.1351719884
51	0.1350185946
52	0.1348675067
53	0.1347196203
54	0.1345862412
55	0.1344541154
56	0.1343674038
57	0.1342565507
58	0.1341695002
59	0.1340775869
60	0.1339795899
61	0.1338803649
62	0.1337691742
63	0.1336842658
64	0.1336017247
65	0.1335404038
66	0.1334793873
67	0.1333886562
68	0.1333054005
69	0.1332327604
70	0.1331918078
71	0.133151727
72	0.1331117647
73	0.1330503864
74	0.1330163645
75	0.1329720163
76	0.1329262456
77	0.1328540346
78	0.1328103773
79	0.1327676409
80	0.1327318266
81	0.132706846
82	0.1326761013
83	0.1326524293
84	0.1326169194
85	0.132565905
86	0.1325475402
87	0.1325185629
88	0.1324835673
89	0.1324628997
90	0.1324426635
91	0.1324043812
92	0.1323709294
93	0.132336709
94	0.1323131012
95	0.1322906819
96	0.1322755647
97	0.1322435162
98	0.1322196056
99	0.1321986261
100	0.13218035
101	0.132162986
102	0.1321388702
103	0.1321135689
104	0.1320988395
105	0.1320777545
106	0.1320629627
107	0.1320429279
108	0.1320268087
109	0.1320147128
110	0.1319988392
111	0.1319826616
112	0.1319729669
113	0.1319615492
114	0.1319448438
115	0.1319355024
116	0.1319191613
117	0.131914061
118	0.131903022
119	0.131895651
120	0.1318815288
121	0.1318654295
122	0.1318528497
123	0.1318343745
124	0.1318200304
125	0.1318120275
126	0.1318023964
127	0.1317892883
128	0.1317785419
129	0.131758682
130	0.1317443907
131	0.1317227341
132	0.13171264
133	0.131705201
134	0.1316954415
135	0.1316864214
136	0.1316768061
137	0.1316562727
138	0.1316474477
139	0.1316415655
140	0.131630273
141	0.1316183726
142	0.1316047576
143	0.1315950333
144	0.1315873356
145	0.1315762179
146	0.1315706386
147	0.1315619326
148	0.1315502204
149	0.1315444234
150	0.1315318428
151	0.1315180537
152	0.1315093636
153	0.1315021839
154	0.1314932007
155	0.1314828442
156	0.1314725093
157	0.131468171
158	0.1314612229
159	0.1314546525
160	0.1314483923
161	0.1314382161
162	0.1314296204
163	0.1314216464
164	0.1314126173
165	0.1314021353
166	0.1313926504
167	0.1313847149
168	0.1313657096
169	0.1313536002
170	0.1313456258
171	0.1313422308
172	0.1313336488
173	0.1313257966
174	0.1313157104
175	0.131309838
176	0.1313045239
177	0.1312985407
178	0.1312894564
179	0.1312861317
180	0.1312797616
181	0.13127223
182	0.1312659885
183	0.1312565258
184	0.1312476588
185	0.1312398234
186	0.1312323364
187	0.1312253867
188	0.1312213812
189	0.1312164964
190	0.1312107357
191	0.1312044338
192	0.1312029801
193	0.1311963215
194	0.1311896152
195	0.1311862762
196	0.1311817559
197	0.1311817486
198	0.1311783648
199	0.1311740162
200	0.1311675665
201	0.1311646624
202	0.1311608867
203	0.1311567648
204	0.1311520955
205	0.131143367
206	0.1311385619
207	0.1311330905
208	0.1311294081
209	0.1311230057
210	0.1311204776
211	0.1311141482
212	0.1311077855
213	0.1311036599
214	0.1310938879
215	0.1310874564
216	0.131080247
217	0.1310766328
218	0.1310698962
219	0.1310697373
220	0.1310642819
221	0.1310632542
222	0.1310594681
223	0.1310554773
224	0.131047921
225	0.1310469109
226	0.1310429707
227	0.1310396654
228	0.1310349416
229	0.1310219018
230	0.131016381
231	0.1310123752
232	0.1310098259
233	0.1310054782
234	0.1309983264
235	0.1309967594
236	0.1309901507
237	0.1309861229
238	0.1309773797
239	0.130969325
240	0.1309639422
241	0.1309586984
242	0.1309527705
243	0.1309514097
244	0.1309401865
245	0.1309357657
246	0.1309302216
247	0.1309268646
248	0.130922765
249	0.130920248
250	0.1309143287
251	0.1309083763
252	0.1308794017
253	0.130879061
254	0.1308738024
255	0.1308699995
256	0.1308643127
257	0.1308605567
258	0.1308546787
259	0.1308488776
260	0.1308454904
261	0.1308401916
262	0.1308382474
263	0.1308382438
264	0.1308310178
265	0.1308234021
266	0.1308211251
267	0.1308159527
268	0.130811096
269	0.1308053901
270	0.1308023142
271	0.1307972684
272	0.1307885179
273	0.1307825328
274	0.130782523
275	0.1307755701
276	0.1307729424
277	0.1307697326
278	0.1307661312
279	0.1307602148
280	0.1307578858
281	0.130754094
282	0.130744294
283	0.1307397744
284	0.130734667
285	0.1307320975
286	0.1307261182
287	0.1307212874
288	0.1307149773
289	0.1307124141
290	0.1307073547
291	0.1306978562
292	0.1306921763
293	0.1306889682
294	0.1306875416
295	0.1306826499
296	0.1306816296
297	0.1306796989
298	0.1306760628
299	0.1306760266
300	0.1306760241
301	0.1306733024
302	0.1306702955
303	0.1306670731
304	0.1306629551
305	0.1306577798
306	0.1306545195
307	0.1306520845
308	0.1306470296
309	0.1306436061
310	0.1306406336
311	0.1306342142
312	0.1306294807
313	0.1306252695
314	0.1306239692
315	0.1306200534
316	0.1306175712
317	0.1306156396
318	0.1306126131
319	0.1306098201
320	0.1306019724
321	0.1306018502
322	0.1305978589
323	0.1305937386
324	0.1305892738
325	0.1305849517
326	0.130580617
327	0.1305756067
328	0.1305708701
329	0.1305702581
330	0.1305506729
331	0.1305488301
332	0.1305446633
333	0.1305429548
334	0.130538463
335	0.130533708
336	0.1305313215
337	0.1305286347
338	0.1305240783
339	0.130521536
340	0.1305148542
341	0.1305126771
342	0.1305093115
343	0.1305063449
344	0.1305045856
345	0.1304989765
346	0.1304918368
347	0.130490945
348	0.1304867805
349	0.1304864812
350	0.1304808184
351	0.1304774352
352	0.1304741422
353	0.1304730529
354	0.1304714344
355	0.1304664202
356	0.1304612946
357	0.1304591615
358	0.1304518134
359	0.13044734
360	0.1304449383
361	0.1304421984
362	0.130440171
363	0.1304374334
364	0.1304350023
365	0.130428875
366	0.1304221133
367	0.1304209385
368	0.1304194336
369	0.1304161733
370	0.1304117529
371	0.1304105451
372	0.1304074929
373	0.130403427
374	0.130400514
375	0.1303997129
376	0.1303990998
377	0.1303939906
378	0.1303938676
379	0.1303903565
380	0.1303878736
381	0.1303869036
382	0.1303849549
383	0.1303816316
384	0.1303795258
385	0.130377568
386	0.1303741382
387	0.130370842
388	0.1303660867
389	0.1303631057
390	0.1303611825
391	0.1303601433
392	0.1303574025
393	0.1303547964
394	0.1303544234
395	0.1303510679
396	0.130349769
397	0.1303456331
398	0.1303442369
399	0.1303409201
