iter	Passed	Remaining
0	169	145283
1	304	130356
2	434	123905
3	539	115247
4	673	114900
5	746	105934
6	891	108404
7	1009	107239
8	1104	104151
9	1162	98556
10	1259	96991
11	1302	91818
12	1416	92077
13	1520	91677
14	1624	91288
15	1737	91412
16	1855	91811
17	1929	90044
18	2035	89902
19	2097	87903
20	2227	88785
21	2362	89777
22	2483	90159
23	2536	88146
24	2655	88486
25	2776	88852
26	2925	90025
27	3049	90387
28	3165	90484
29	3259	89949
30	3372	89965
31	3480	89834
32	3600	90003
33	3717	90091
34	3814	89701
35	3940	89970
36	4062	90146
37	4164	89867
38	4228	88797
39	4307	88087
40	4371	87119
41	4467	86797
42	4597	87132
43	4702	87001
44	4812	86937
45	4935	87119
46	5050	87154
47	5157	87031
48	5256	86791
49	5370	86788
50	5475	86642
51	5518	85542
52	5621	85390
53	5731	85330
54	5854	85475
55	5959	85350
56	6081	85458
57	6179	85232
58	6268	84896
59	6387	84949
60	6497	84895
61	6607	84828
62	6667	84142
63	6777	84081
64	6904	84238
65	7026	84319
66	7122	84086
67	7230	83996
68	7332	83842
69	7446	83824
70	7537	83545
71	7577	82724
72	7681	82600
73	7779	82416
74	7866	82126
75	7972	82028
76	8061	81763
77	8183	81838
78	8295	81804
79	8416	81848
80	8523	81759
81	8633	81700
82	8737	81581
83	8865	81689
84	8988	81740
85	9084	81548
86	9202	81556
87	9333	81671
88	9450	81656
89	9575	81711
90	9677	81565
91	9792	81533
92	9905	81480
93	10035	81567
94	10152	81539
95	10277	81578
96	10386	81484
97	10508	81493
98	10621	81432
99	10747	81464
100	10854	81357
101	10972	81325
102	11088	81282
103	11200	81202
104	11319	81179
105	11439	81155
106	11539	80994
107	11665	81012
108	11777	80928
109	11898	80908
110	12026	80931
111	12134	80821
112	12255	80801
113	12369	80730
114	12498	80752
115	12592	80545
116	12708	80488
117	12820	80397
118	12923	80258
119	13065	80351
120	13183	80302
121	13290	80179
122	13409	80130
123	13526	80068
124	13632	79941
125	13749	79879
126	13860	79779
127	13982	79746
128	14076	79546
129	14201	79529
130	14305	79391
131	14410	79257
132	14533	79225
133	14648	79143
134	14757	79034
135	14896	79083
136	14992	78904
137	15091	78737
138	15200	78625
139	15320	78574
140	15434	78486
141	15547	78394
142	15654	78274
143	15781	78248
144	15885	78113
145	16012	78089
146	16111	77925
147	16219	77808
148	16336	77737
149	16454	77667
150	16579	77628
151	16684	77493
152	16807	77444
153	16939	77437
154	17058	77368
155	17174	77283
156	17274	77129
157	17380	77001
158	17489	76888
159	17602	76791
160	17724	76731
161	17842	76654
162	17995	76729
163	18121	76684
164	18243	76623
165	18377	76608
166	18459	76380
167	18583	76325
168	18696	76223
169	18825	76188
170	18949	76129
171	19059	76016
172	19213	76076
173	19324	75965
174	19442	75883
175	19555	75778
176	19667	75668
177	19763	75499
178	19892	75458
179	20011	75376
180	20121	75260
181	20233	75151
182	20348	75057
183	20449	74905
184	20558	74788
185	20667	74668
186	20784	74578
187	20884	74428
188	20999	74331
189	21125	74273
190	21258	74238
191	21382	74169
192	21496	74067
193	21632	74042
194	21765	74002
195	21873	73879
196	21999	73815
197	22119	73732
198	22258	73709
199	22321	73438
200	22438	73342
201	22500	73070
202	22626	73005
203	22741	72906
204	22869	72848
205	22987	72757
206	23123	72720
207	23180	72439
208	23291	72326
209	23409	72234
210	23528	72145
211	23636	72025
212	23747	71910
213	23890	71894
214	24016	71825
215	24136	71737
216	24248	71628
217	24328	71424
218	24463	71380
219	24587	71303
220	24669	71105
221	24772	70968
222	24855	70775
223	24979	70701
224	25117	70662
225	25236	70573
226	25356	70485
227	25438	70290
228	25547	70171
229	25668	70087
230	25776	69963
231	25908	69909
232	26028	69817
233	26157	69752
234	26250	69591
235	26332	69402
236	26440	69281
237	26557	69183
238	26666	69065
239	26797	69004
240	26940	68973
241	27062	68886
242	27162	68744
243	27284	68658
244	27367	68474
245	27474	68350
246	27575	68212
247	27706	68149
248	27824	68051
249	27940	67951
250	28039	67807
251	28166	67734
252	28287	67643
253	28424	67593
254	28535	67477
255	28666	67410
256	28786	67318
257	28920	67258
258	29040	67162
259	29162	67074
260	29277	66967
261	29380	66834
262	29486	66708
263	29607	66616
264	29727	66522
265	29845	66424
266	29974	66348
267	30056	66168
268	30156	66031
269	30260	65899
270	30393	65833
271	30517	65748
272	30661	65702
273	30760	65563
274	30798	65293
275	30917	65196
276	31002	65026
277	31118	64924
278	31211	64773
279	31316	64646
280	31452	64584
281	31556	64454
282	31681	64369
283	31818	64309
284	31949	64235
285	32026	64052
286	32148	63960
287	32232	63793
288	32355	63702
289	32470	63596
290	32599	63519
291	32717	63418
292	32848	63342
293	32908	63130
294	32994	62969
295	33102	62850
296	33244	62795
297	33357	62685
298	33479	62592
299	33603	62502
300	33724	62407
301	33848	62317
302	33967	62218
303	34029	62014
304	34123	61870
305	34227	61744
306	34363	61675
307	34492	61594
308	34613	61498
309	34745	61421
310	34862	61316
311	34981	61217
312	35088	61097
313	35220	61018
314	35340	60920
315	35460	60820
316	35577	60717
317	35712	60643
318	35825	60532
319	35945	60433
320	36036	60285
321	36156	60185
322	36298	60123
323	36447	60070
324	36560	59958
325	36621	59763
326	36700	59596
327	36763	59404
328	36869	59283
329	37002	59203
330	37108	59082
331	37223	58974
332	37326	58848
333	37394	58667
334	37510	58561
335	37632	58464
336	37755	58370
337	37879	58275
338	37998	58174
339	38122	58081
340	38244	57983
341	38352	57865
342	38434	57708
343	38545	57593
344	38647	57467
345	38752	57344
346	38858	57223
347	38971	57114
348	39075	56989
349	39195	56889
350	39323	56801
351	39452	56713
352	39575	56616
353	39665	56473
354	39814	56413
355	39943	56324
356	40082	56250
357	40151	56077
358	40253	55951
359	40381	55861
360	40500	55757
361	40628	55667
362	40751	55570
363	40855	55447
